;;;;;;;"""rozdílnost"""
;4;3;2;1;0;;
C;74,27272727;73,59090909;59,09090909;56,72727273;55,5;;5265,256198
;55,31818182;55;44,77272727;42,86363636;40,36363636;;
;;;;;;;
;;;;;;;
A;72,72727273;72,72727273;73,59090909;74,27272727;73,5;;35208,46281
;42,90909091;40,36363636;42,04545455;46,54545455;44,63636364;;
;;;;;;;
;;;;;;;
B;72,18181818;74,27272727;70,95454545;62,13636364;62,22727273;;21011,57851
;46,18181818;46,04545455;46,77272727;40,36363636;41,54545455;;
;;;;;;;
D;;;;74,27272727;73,5;;20991,47107
;;;;40,36363636;41,36363636;;
